Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
DogeDesigner,BREAKING: Jim Cramer says Kamala Harris is going to win. It’s over for her.,Oct-11,525,3.6K,115K
Debbie Mucarsel-Powell,"I’m grateful to this country that we now have presidential candidates like Kamala Harris on Univision to communicate directly with our Latino communities. Economic opportunities, health care, and safety are what we care about. Let’s do this!",Oct-10,17,458,6.7K
Jonathan Shuttlesworth,"🚨 Kamala Harris no longer wants to be President. As a public speaker, I can spot disinterest a mile away. As a leader, I notice when someone is completely exhausted. I feel for her. Where is the enthusiasm? Where is the energy? When you look at her body language, what do you see?",Oct-10,32,168,7.8K
Philip Anderson,🚨BREAKING: Super star Lana Del Rey says that she supports mass deportations.,Oct-11,67,2.2K,46K
Ja'Mal Green,"Yes, it’s true. Black men overwhelmingly don’t like Kamala Harris. But not because of misogyny or because they don’t want to see a woman rise. It’s simple: - Black men are logical and care nothing about symbolism - Black men have the lowest wealth in America w/ no support",Oct-11,139,5.5K,155K
Austin Ahlman,"Harris has done no outreach to the left at all and they are still unhappy, thus proving they can never be satisfied. (I am a very savvy commentator.)",Oct-10,170,1.1K,463K
Sam Stein,"Harris declines to say, on The View, that there would be something she would have done differently than Biden. A fair bit of polling data out there suggests voters want to see some daylight between the two.",Oct-08,198,491,420K
#gaybaristapaulforpresident,Has the Harris Walz campaign condemned the genocide happening in the north of Gaza,Oct-11,6,11,103
Blake Harris,How’s everyone feeling?,Oct-11,329,805,62K
Philip Anderson,🚨BREAKING: Trump supporter Jason Aldean donates $7 Million to the Hurricane victims in North Carolina & Georgia. While Kamala Harris and her supporters raise no money and do nothing to help the hurricane victims.,Oct-07,1.1K,14.1K,941K
Kamala Harris Press Release (Parody),"To be clear: Hurricane victims do NOT get $750 per person. It’s $750 per family. Also, it’s a loan. You have to pay it back.",Oct-05,2.3K,16K,4.7M
Charles V Payne,"Good morning, I hope everyone had a great weekend. A comment on Magic Johnson chiding Black men for not embracing Kamala Harris. I asked Johnson to be a guest on my show, and he turned me down. It’s his prerogative. Clearly, he felt no obligation. Black men owe Harris nothing.",Oct-07,573,3.7K,249K
HopeyC-Stronger Than You Know,I’ve blocked so many assholes today telling me that politics shouldn’t break a marriage. But Donald Trump is not politics. Never was. He’s the fundamental difference between right and wrong. He has been a test on this nation. So many people failed. Including my husband.,Oct-07,1.4K,9.4K,204K
Shawn Harris for Congress,"🚨MTG IS LOSING MOMENTUM!!! Her bizarre posts over the last 48 hours don’t help her, but she doesn’t want anyone to know that she’s facing an opponent in 30 days. Can you retweet this so more people learn about our movement to unseat the most toxic member of Congress, MTG?",Oct-06,233,17K,251K
Aes,"“We invited Kamala Harris to be our guest this evening, that interview in a moment. In the interest of fairness, we also invited Donald Trump to go f*ck himself.” – Stephen Colbert",Oct-08,132,1.4K,10K
C. Severson,It’s crazy how Governor Walz allowed Minneapolis burned down but I ran a marathon there today & saw hundreds of Harris Walz signs & zero Trump signs. Weird that Minneapolis still seems to adore their Governor 😉,Oct-06,134,1.5K,103K
Steve,Donald Trump was impeached for withholding aid from Ukraine. Kamala Harris is currently withholding aid from victims of Hurricane Helene. Just going to leave this one right here.,Oct-04,3.8K,18K,1.1M
Blake Harris,Walker Buehler in San Diego for Game 3 with that atmosphere. I’m gonna light the Jesus candle now,Oct-06,218,5.1K,314K
Philip Anderson,🚨BREAKING: Kamala Harris has been caught cheating in the election. All students at every Arizona college received a text message telling them to register to vote and to vote for Kamala Harris. This is illegal and a breach of student privacy.,Oct-04,3.4K,12K,7M
Grace Chong,Kamala Harris is really a f*cking stupid airhead.,Oct-04,116,892,9K
Philip Anderson,🚨BREAKING: North Carolina Sheriffs say that they are ready to start arresting Kamala Harris’s FEMA feds if they continue blocking rescue workers and pilots from saving lives and delivering critical aid.,Oct-04,4.3K,14.5K,3.9M
Kamala’s Wins,BREAKING: Kamala Harris will go on the Call Her Daddy podcast next week. This is incredible.,Oct-04,298,623,4.3K
Leading Report,"BREAKING: It would be “historically unprecedented” if Kamala Harris wins the election, as only 28% of Americans believe the country is on the right track with one month remaining (via RealClearPolitics poll), CNN analyst Harry Enten said.",Oct-05,6.7K,43K,1.1M
Wendy Patterson,I just got off a phone call with a friend of mine who is in Greensboro and she told me that Greensboro has signs for Harris all over.,Oct-05,246,836,78K
Aes,Prediction: Harris outperforms the polls.,Oct-06,137,2.2K,30K
Vice President Kamala Harris,The people of Lebanon are facing an increasingly dire humanitarian situation. I am concerned about the security and well-being of civilians suffering in Lebanon and will continue working to help meet the needs of all civilians there.,Oct-05,55K,24K,17K
Aes,Kamala Harris used to get 500k likes. Her account is being silenced by Elon Musk. It’s f*cking pathetic.,Oct-07,133,5.7K,101K
Ian Hartitz,Most touches without a touchdown this season: 1. Najee Harris (94) ... 2. Javonte Williams (70) 3. Rachaad White (68),Oct-07,44,5.6K,442K
VoteHub,National A/B rated polls in the last 7 days: Data for Progress: Harris +3 NPR/PBS News/Marist: Harris +2 Emerson: Harris +1.6 SP&R: Harris +5 Ipsos: Harris +4 Economist/YouGov: Harris +3 4-week flat average: Harris +3.3,Oct-06,128,4.1K,244K
Natalie Louise Shorter (Lucas),"Reminder post ALL 435 seats in the House and a third (33) of the US Senate are up for re-election this year! Make sure President Harris has the support she needs to finish the job, ok! Please and thank you all 🙏",Oct-07,12,817,13K
Lavern Spicer 🇺🇸,"Dear Barack Obama, Where the fck you get off telling Black men to jump off a motherfcking cliff for Kamala Harris? She ain’t done one thing for the Black community since her dumb ass broke into the White House...",Oct-11,2.4K,11K,1.3M
HARRIS WALZ 2024,Good morning everyone !!,Oct-11,6,422,18
WTFGOP,OMFG what the fck is wrong with some of you motherfckers? Do you think somewhere like Pennsylvania that was supposedly Harris +6 is suddenly now Trump +3? Are you telling me in the last few weeks people (especially women) just changed their minds?,Oct-11,805,12K,179K
Eva McKend,"Vice President Kamala Harris will travel to Detroit Tuesday where she will participate in a radio town hall hosted by @cthagod, the host announced on the Breakfast Club this morning. This is part of the campaign’s broader effort to reach Black men.",Oct-11,100,1.5K,332K
Aes,I’m glad that Democrats think that Harris can lose. In 2016 people thought Hillary had the election in the bag and didn’t even bother voting. This should motivate you to... Vote.,Oct-09,62,2.3K,22K
WTFGOP,So how do we get this new power to control the weather? I got my covid shot — nada Voted for Kamala Harris — still no Told another MAGA tool to go F*ck himself today — Nope What’s the prerequisite because I want to try this Harry Potter shit,Oct-09,62,843,13K
Prez,"From the Bulwark... if the election was held today, Trump would only get 45% of Haley voters and Harris would get 36%. This aligns with the NYT/Sienna poll that says among Republican voters she has made inroads with 9% of Republican voters who plan to vote for Kamala up from 5%",Oct-09,75,1.3K,2.4K
Hunter Wallace,"If Trump came out tomorrow and made a full throated appeal to Whites to vote for him, he would be dismissed by activists for not naming the Jew and they would say he is just trying to rile up the bumpkins to get them to vote for him. They would also vote for Kamala Harris",Oct-11,5,644,33
Chris Mitchell,"Everyone is screaming about what Trump may do, instead of paying attention to what Biden is doing and Harris will continue to do.",Oct-04,11,105,2.9K
Doc Jazz,"A true anti-Zionist despises Trump as much as Harris. It’s a delusion to believe that Trump (‘hit the nuclear facilities in Iran!’) will be less subservient to the lobbyists than Harris. He might actually be worse. When given a choice between two evils, you don’t choose any.",Oct-05,13,110,1.2K
Chris Harris,Bo damn near perfect this 2nd Half. Just need that bomb back we dropped.,Oct-06,15,48,41K
Anatomy of a Fighter,What a fcking fight... HOLY FCK #UFC307,Oct-06,3,147,4.5K
Aes,Good economic news for Harris in a tight election is the worst possible news for Trump.,Oct-04,36,265,3K
Brian Eskow,We NEED Kamala Harris right now. Said no one ever.,Oct-04,19,3.1K,16K
Dahlia Harris,Why people still hiding behind egg and puss and tree and bird in dem profile yet have so much to say on here? Believe in what you saying man. No talk with you whole chest but can show your face.,Oct-05,22,128,1.2K
Bob Cesca,"Imagine the political press and the polls if Joe Biden, Kamala Harris, or Tim Walz insulted wounded warriors, saying their traumatic brain injuries were “headaches,” then cracked jokes about a supporter who was murdered at a Trump rally. Their electoral prospects would be OVER.",Oct-04,168,1.2K,2.2K
Evangelicals For Harris,"We are called to be the hands and feet of Christ. By supporting justice and compassion, we can #BringBackTheJoy to a hurting world. #EvangelicalsForHarris #BringBackJoy #FaithInAction",Oct-05,58,4.1K,237
Aes,"Donald Trump’s answer to Iran getting nuclear weapons is basically bombing the hell out of their nuclear facilities. This man ripped up the Iran Nuclear Deal.. You want WW3? Vote Trump Meanwhile, I’m voting with my conscious and voting Harris.",Oct-04,17,6.7K,3.2K
Reagan Harris (OSU Mart),"Mike Gundy spoke to NFL defensive coordinators, high-level college coaches and assistants... We opted for a Division 2 DC who had 1 YEAR as a coordinator. We’ve kept our worst OC on staff for half a decade who has wasted some of our most talented rosters in history. It’s done.",Oct-05,11,467,20K
Aes,"Why can Harris win? Because you nominated Trump. Thanks for likely giving us the first female president, tho.👍",Oct-04,5,171,2.3K
Dr. Dawn Michael,"The government continues to fail the people under the Biden/Harris administration, our country literally cannot survive another four years of this.",Oct-04,9,130,4.3K
Aes,Harris to be on the Howard Stern show on Tuesday.👏,Oct-06,18,249,4.1K
Aes,“Donald Trump is full of lies.” – Kamala Harris I agree!👍,Oct-06,18,483,4.2K
Reagan Harris (OSU Mart),"We might be the worst team in this conference. I’m not even joking. Usually, there is a silver lining with a Gundy team but we DO NOTHING correctly.",Oct-05,18,274,9.5K
Rep. Mark Pocan,"Under the Biden-Harris Administration, violent crime is near a 50-year low. This didn’t happen by accident. The American Rescue Plan – which every Republican in Congress opposed – delivered $15 billion to invest in public safety and violence prevention. And it worked.",Oct-06,24,1.4K,14K
Tae Harris,ACC champs otw...🏈,Oct-05,13,296,5.2K
Cassie Semyon,A big media blitz this week for the Harris-Walz ticket: Sunday: • Walz appeared on Fox News Sunday • Harris’ interview on the popular podcast Call Her Daddy will drop Monday: • Harris’ interview with CBS News’ 60 Minutes will air • Walz will appear on Jimmy Kimmel Live,Oct-06,20,1.4K,14K
The Male Man,Kamala Harris needs to iron her neck,Oct-05,77,306,4.8K
Huey Jack,"Per Harris herself... the government has sent over $385,000,000,000 dollars to Lebanon... she said this YESTERDAY. Sorry Hurricane victims... the Lebanese are more important right now... You’ll have to continue to fish the bodies of your loved ones out on your own.",Oct-06,5,46,921
Insurrection Barbie,Bill Clinton deported 12 million illegals. Media silent. Barack Obama deported 3 million illegals. Media silent. Donald Trump deported 1 million illegals. The media brands him a racist and a Nazi. Then Harris and Biden imported 13 million illegals.,Oct-05,158,14K,131K
Aimee Terese,Kamala Harris needs to be beaten. (electorally),Oct-05,6,55,2.1K
Gator Gar,"I have this weird disease where I can remember how much everyone hated Kamala Harris up until a month ago, when she instantly became the most incredible person to ever live. Even worse? There’s no cure.😬",Oct-05,64,1.2K,8.1K
Reagan Harris (OSU Mart),"Remember... we had an entire week to adjust, make changes, and figure out what’s wrong. We were literally told play calling isn’t the issue. And we came out with zero adjustments & zero improvement. This isn’t the same culture from 2010-2021.",Oct-05,12,209,5.4K
Jon Stout,Harris's IQ is high enough to beat Donald Trump's ass in a debate and then some. Does anything else really matter?,Oct-06,43,553,4.2K
Seth Keshel,"While a pessimistic outlook tilts Nevada narrowly toward Harris, the shift in voter registrations suggests Trump will flip Nevada, despite the outlying counties being nearly maxed out. Nevada moving to Trump will amplify pressure, and if combined with a long shot state like New",Oct-06,29,363,4.2K
Brian Eskow,"Trump has Kennedy, Musk, Ramaswamy, Gabbard, and Vance. Harris has Liz and Dick.",Oct-05,63,1.3K,7.8K
Skyler Johnson,"We were facing a strike that would’ve disrupted supply chains and caused prices to skyrocket. The Biden-Harris administration stepped in and found a consensus, averting the strike. That’s leadership. And that’s why we need four more years of Harris at the helm.",Oct-04,1,116,2.5K
Aes,We will have an election in 4 years. If Harris is elected. I can’t guarantee the same thing with Trump.👀,Oct-05,13,459,4.6K
Bad Hombre,"There is growing consensus among vulnerable Democrat Senate candidates that Kamala Harris is a liability, and are choosing to distance themselves. In recent days, Tammy Baldwin and Bob Casey both declined opportunities to campaign with Harris.",Oct-04,27,363,4.5K
Kelly D,Do you want to know how much I love this country? I’m 100% in with @LizCheney helping VP Harris save democracy. Why would you not be on board? No I don’t agree with her on abortion but my god people do you want to be North Korea?,Oct-04,10,236,6.1K
The Shallow State,Billionaire investor Ben Horowitz (Andreessen Horowitz) has done a full 180 and gone from supporting Trump to supporting Harris. He praised Harris and said he and his wife would make a significant donation to her campaign. I don’t know why more billionaires don’t follow suit.,Oct-05,75,1.7K,24K
Anatomy of a Fighter,DC “Oh my goodness”.. nothing even landed lol,Oct-06,3,145,4.5K
C. Severson,It’s crazy how Governor Walz allowed Minneapolis burned down but I ran a marathon there today & saw hundreds of Harris Walz signs & zero Trump signs. Weird that Minneapolis still seems to adore their Governor 😉,Oct-06,147,319,103K
Hollie Harris,"13yo: Ugh, why do you have the closed captions on when you’re watching something? It’s annoying. Me: I can’t wait until you get to be my age and find out the answer for yourself.",Oct-06,20,116,2.2K
Jon Harris,I stand with Appalachia,Oct-04,22,365,6.2K
Thia is with...,Hillary Clinton is advising Kamala Harris on how to beat Donald Trump. lol is this satire?,Oct-05,87,283,20K
Jon Harris,The purpose of FEMA is what it does.,Oct-04,16,407,14K
Kurt Phillips,"1. I’m laughing at the MAGA folks currently raging that Bruce Springsteen endorsed Harris: “I used to love Springsteen’s music, but then he when woke!” Then? THEN?!?! FOR THE LOVE OF GOD LISTEN TO LYRICS OF THE MUSIC YOU CLAIM TO LOVE...",Oct-05,93,264,4.2K
The Editorial Board,"With all these Republicans coming out to endorse Harris, it’s fair to say she’s a “bipartisan” presidential candidate.",Oct-05,17,149,9.6K
Leading Report,"BREAKING: Illegal immigration populations have increased by hundreds of percent in swing states during the Biden-Harris administration, according to court filings. Georgia - 401%, North Carolina - 446%, Pennsylvania - 241%, Arizona - 734%, Nevada - 562%, Michigan - 775%.",Oct-03,1.4K,33K,1.4M
Deerhoof,"I keep hearing from the “stop criticizing genocide!” crowd that it’s too late to extract any concessions from Harris. And then every day I read another news story about the concessions she is making to Israel, to Wall St bankers, and to xenophobes.",Oct-05,51,303,4.7K
Amy Siskind,"We have a BIG group coming this weekend to Lancaster County, PA to knock doors for Harris-Walz! I posted a podcast this week about why this area is one of the top 5 focuses for the campaign in keeping PA BLUE!",Oct-04,98,558,6.6K
Bruce Bartlett,It is shocking to me that the most prominent Republican to support Harris is a defeated member of the House of Representatives from our smallest state. Republican elected officials are the most cowardly on earth.,Oct-05,87,331,7.9K
(((DeanObeidallah))),"Trump’s supporters aren’t voting for him despite his racism, bigotry, and cruelty, they are voting for him because of his racism, bigotry, and cruelty.",Oct-10,17,575,11.3K
The Lincoln Project,"Donald Trump can’t govern a nation, let alone a thought.",Oct-09,238,6.4K,128K
Mayo,Americans are in the last stage of Donald Trump’s second coup attempt.,Oct-10,50,1.2K,11K
Mehdi Hasan,"To all the trolls in my replies today, answer me this: If it is so vital that Harris is defeated in order to stop the genocide, and that there’s no difference on Gaza between Trump and Harris, between the GOP and Dems, why then do Benjamin Netanyahu and most Israelis support Harris?",Oct-09,1.2K,18K,1.2M
Karen Piper,This site is a $40 billion campaign contribution to Donald Trump. How are we supposed to beat that?,Oct-11,596,2.8K,46K
Hakeem Jeffries,Trump’s Project 2025 decimates FEMA and the National Weather Service. These far-right extremists will stop at nothing to hurt everyday Americans. Do better.,Oct-11,716,4.5K,72K
Anonymous,"If Trump is elected the United States will become the enemy of the free world. Unfortunately, the US election has become a global affair, as endosocial regressives make their move to grab power; to install authoritarian kleptocracies worldwide.",Oct-09,69,1.3K,84K
Anders Åslund,"If Trump receives any votes, it will be difficult to take the US seriously, because Trump is a patent liar, a con man & a felon, which is known to all, so anybody who votes for Trump votes against freedom, democracy & the rule of law.",Oct-11,68,877,17K
Mayo,Getting Trump supporters to acknowledge reality is like trying to herd cats.,Oct-10,152,1.2K,11K
Emerald Robinson,"Anyone who thinks Trump will win next month because his share of the vote is “too big to rig” is a moron. There’s 330,000 Fulton County ghost ballots from the 2020 election THAT DON’T EXIST to remind you: NOTHING IS TOO BIG TO RIG.",Oct-10,565,4.9K,114K
MAYRA Photography,It’s amazing how America was never inundated with lies and propaganda like it is now until Donald Trump crawled out from hell.,Oct-10,6,1.2K,8.6K
Steve 🇺🇸💫,Imagine how great the United States will be when we stop prioritizing taxpayer dollars for illegals and other nations over American citizens. You won’t need to imagine if you vote for Donald J. Trump in less than a month. Let’s take America back!,Oct-10,34,1K,73K
Jo,"If a single answer Kamala Harris gave on a tv talk show is disqualifying but the fact that Trump was letting Americans die while sending our desperately needed Covid supplies to Vladimir Putin is not, congratulations – you’re an idiot, an asshole and you’re in a fucking cult.",Oct-10,1.9K,22K,375K
NewsWire,BIDEN TO TRUMP OVER HURRICANE MISINFO: GET A LIFE MAN,Oct-10,34,3.2K,82K
Mayo,HOLY FUCKING SHIT!🚨🚨🚨🚨🚨🚨,Oct-11,1.6K,16K,352K
Funky,Trump + Vance + RFK jr + Tulsi + Vivek + Elon = High likelihood of change Kamala + Walz + Republican neocon war mongers = No chance of change Do we want change or do we want to continue to be ruled by the Military industrial complex + Big Pharma????,Oct-10,554,4.9K,280K
Richard Strocher X,I am 18. Pro Trump. A Alpha Male. Self Made Millionaire. Irresistible to black women. And I am only just getting started. Are you jealous yet?,Oct-11,99,1.8K,84K
Rachel Bitecofer,Donald Trump was more concerned with keeping Putin safe during the pandemic than the American people.,Oct-08,33,2.3K,23K
Plies,"Trump is Effective B/c People HATE Certain Things. People HATE Government, People HATE Immigrants, People HATE Black Folks. People HATE LGBTQ, People HATE The Media, People HATE Women, People HATE The System. He Pours Gas On All The Things People HATE!! That’s DONALD J TRUMP!!!!!",Oct-06,207,2.5K,65K
Steve 🇺🇸💫,The ones that are accusing Donald Trump of violating the Logan Act were awfully quiet about Barack Obama and John Kerry.,Oct-08,49,2.6K,29K
Stonetoss Comics,"If Trump wins, what changes?",Oct-07,128,6.2K,413K
Leading Report,BREAKING: Elon Musk says he would like to cut almost 80% of the federal government while working with Trump.,Oct-07,3.6K,71K,4.2M
Mayo,America would be a whole hell of a lot safer if we deported Elon Musk and threw Donald Trump in prison.,Oct-05,288,1.6K,53K
Alex Cole,Donald Trump and his campaign are pushing misinformation about Hurricane Helene relief efforts that’s hurting his own voters. Let that sink in.,Oct-08,270,1.1K,4.1K
Joseph Pino,"Speaker Johnson did nothing for Peter Navarro. He failed Steve Bannon. He failed more than 1,000 J6 patriots. He forgot about Laken Riley. He couldn’t even show up after two attempts on President Trump. Fck him.",Oct-10,50,1.2K,7.8K
Aes 🇺🇸,Educated White people think that Trump is a fucking moron. Because he is.,Oct-08,2.7K,24K,242K
Angry Staffer,"Trump—who pulled out of the JCPOA/Iran Nuclear deal—is now telling people that he would have had a deal in place. He also urged Israel to directly target Iran’s nuclear production capability, which would immediately lead to full-blown war. Don’t elect this idiot again.",Oct-07,217,1.6K,200K
Hoodlum 🇺🇸,"Donald Trump’s Bibles are made in China for $3 each, as are his sneakers. Ivanka applied for 17 new trademarks in China the day before she was appointed to the WH. By April 2019, she had been granted 41 trademarks in China. Yet, they advocate for “America First.”",Oct-09,622,1.6K,25K
NoelCaslerComedy 🌙,If Trump has such great genes why did he make his daughter get plastic surgery beginning in her teens? Or why are Eric’s gums like that or why doesn’t Don Jr have a chin or a brain?,Oct-10,2.7K,23K,126K
Chris Hayes,"Obama: “For Trump, freedom means getting away with stuff.”",Oct-09,600,14K,234K
Mary L Trump,"Donald is continuing to spread the same kind of disinformation about the catastrophic storms that have been ravaging, and continue to ravage the south.",Oct-09,173,3.3K,49K
Alex Cole,Trump is the only Presidential candidate in 50 years to chicken out of a “60 Minutes” interview.,Oct-09,2.9K,27K,40K
I Smoked Diddy,Saving a story about Trump conspiring directly with Vladimir Putin for your book is absurd. What kind of reporter just sits on reporting for years?,Oct-08,213,760,2.5K
Mayo,Donald Trump is spreading disinformation that is going to get people killed.,Oct-07,213,2.5K,22K
American Veteran,"If you heard President Obama tonight, that is how a president sounds and acts. Trump can never hope for anything close to that, because he is a dishonest, lying, fraud, coward. Thank you for being our President Barack Obama.",Oct-10,114,339,2.2K
Aes 🇺🇸,Half the country is going to go into Election Day thinking Trump will win. They will be disappointed.,Oct-08,138,1.6K,17K
"Jordan, President Trump Supporter","Our country is on a path of destruction. We are on the verge of WW3, we are at the mercy of Iran who we funded, China, Russia and North Korea because we have a weak and corrupt administration with an inserted and incompetent candidate. President Trump 2024, save our country!",Oct-10,9,139,1.3K
PragmaticNYC,Trump says criminality is genetic. Ivanka’s children have 2 grandfathers who are each convicted felons.,Oct-10,21,603,1.7K
Suburban Black Man 🇺🇸,"It was downhill after Bush and further downhill after Obama. Two shit stains on the USA. Then, President Donald J. Trump emerged from the shadows as perhaps the best President in the history of our country. The pinnacle of American excellence, but it was short-lived. In 2020,",Oct-11,41,340,3.3K
Donna Barford,I love how the tide has turned. People are seeing Harris is cringe and unlikable. They also see she’s not President material either. Trump 2024.,Oct-11,162,327,4.1K
Forest Mommy 🌲🧑,Imagine supporting government corruption just because you hate Trump. They have these people so fucked up.,Oct-10,43,384,4.4K
🔴 Lane 🛑,Just once I want someone interviewing Trump to respond to his gibberish with: “what the actual FUCK are you talking about?”,Oct-11,837,5.3K,40K
Andrew—Author of America Rises on Subs,"While Trump was telling Americans “we need to stop testing to keep our COVID case numbers low” (this is like saying we can cure cancer by stopping screenings), he was SENDING CARE PACKAGES OF VACCINES AND SPECIAL TESTING EQUIPMENT TO VLADIMIR PUTIN.",Oct-08,692,11.2K,71K
Art Candee 🍸📱,Donald Trump bails on going on 60 Minutes then screeches about “election interference.” What a loser.,Oct-10,50,485,7.3K
Austin Petersen 🏛🇺🇸,"I’m a centrist independent moderate who has voted 3rd party extensively in the past, because of corruption in the major parties. This year I’m voting for Donald Trump because he’s the most independent candidate running. This is just common sense. A vote for Trump is a return to",Oct-09,322,1.4K,90K
Ammar Moussa,Everyone should tune in to Trump right now. Absolute disaster. We are watching this man spiral out in real time. I mean he’s talking Hillary Clinton right now.,Oct-11,406,2.1K,11K
Nicholas J. Fuentes,"There is zero enthusiasm behind Trump. If you press Trump surrogates about his support for war with Iran, greencards for Indians, Kushner personnel, and abortion, they say “well he’s better than the Democrat!” Trump 2024: At least he’s not a Democrat.” So sad.",Oct-11,1.4K,9.7K,57K
cummunism 🇮🇷,"I saw this video of this Arab man yelling in English, “you Americans survived Trump! you survived! 200,000 Palestinians didn’t survive Biden!” and like… you can’t exactly argue with that.",Oct-10,143,25K,1.1M
Kostas Moros,"I can’t help but notice that many of the same people who claim that Trump would be a fascist dictator if elected are also strongly opposed to the Second Amendment, making me doubt that they actually believe Trump will be a fascist dictator. If that is truly your good faith",Oct-09,148,1.1K,5.1K
Mark Romano,Is America really stupid enough to elect Donald Trump again?,Oct-11,12K,4.4K,38K
Political Polls,#NEW @WSJ Swing States Poll: GEORGIA Harris 48% (+2) Trump 46% ARIZONA Harris 48% (+2) Trump 46% ...,Oct-11,128,581,617K
Kizma Husky,"At the very least, supporting Trump, as a furry, is a gross betrayal of this community.",Oct-09,119,314,3.3K
Trump 2024 🇺🇸,This great Patriot @GenerationX1974 has 1200 followers. Let’s follow and take him to 1500 followers. He follows back! #PatriotsUnite #Trump2024,Oct-10,94,133,1.2K
Larry 🇺🇸,Fox News is suggesting a face-off between Trump and Harris in Pennsylvania on either October 24 or October 27. Should Trump take up the challenge?,Oct-09,865,1.8K,27K
Irishygirl,"Bob Woodward did it again, held onto vital information in order to sell a book. He didn’t alert the media that Trump knew Covid was deadly. He didn’t alert the media that Trump was sending Covid testing machines to Putin. Bob Woodward puts profit over people.",Oct-08,390,2.7K,11K
AesPolitics1,Detroit is not voting Trump. 💀,Oct-10,191,1.1K,10K
4fuxake!,Who thinks Trump sold America’s secrets to Vladimir Putin?,Oct-09,390,1.7K,14K
Rachel Bitecofer,Using China to print out blasphemous God Bless the USA bibles is peak Trump.,Oct-09,377,1.3K,11K
Tea Pain,"Hitler blamed the Jews for all of Germany’s problems, then called for them to be put in relocation camps. Trump blames immigrants for all of America’s problems and calls for them to be put in relocation camps. “Hitler had some good ideas.” – Donald J Trump",Oct-07,180,2.6K,4.4K
4fuxake!,Who thinks Trump is a mentally deranged pig?,Oct-08,338,2.2K,11K
4fuxake!,Who thinks Trump is the most disgusting president in America’s history?,Oct-09,400,3.2K,15K
Steven Pasquale,"Shameful fucking headline in our hometown paper today talking about Trump’s ""curiosity"" and ""fascination"" with genes and genetics, rather than calling it what it is...White supremacy. Do better, @nytimes .",Oct-10,102,1.4K,5K
Revolutionary Blackout Network,"MAGA is now claiming that Trump is just PRETENDING to be owned by the Zionist mob, and once he take power he will actually reign them in. The cope is unbearable.",Oct-07,519,1.5K,10K
Rachel Bitecofer,"Wow, your town is really shitty. Vote for me! - Donald Trump",Oct-11,62,346,2.4K
"Jim Stewartson, Counterinsurgent","Donald Trump is galactically stupid, and surely must be heading down the road to Alzheimer’s like his dad. Holy fuck. His routine is to go down the teleprompter line by line, get bored & tell a bigoted “sir” story that never happened, realize where he is and read another line.",Oct-10,18,687,12K
AesPolitics1,NYT has Trump +13 in Florida. Marist has him up +4. These types of polling errors are why people have no fucking idea who’s winning this election.,Oct-10,46,75,650
Seth Keshel,"While a pessimistic outlook tilts Nevada narrowly toward Harris, the shift in voter registrations suggests Trump will flip Nevada, despite the outlying counties being nearly maxed out. Nevada moving to Trump will amplify pressure, and if combined with a long shot state like New...",Oct-06,29,93,4.2K
Dandnie D,Donald J Trump is the oldest person to ever run for president. He’s also the rapiest person too.,Oct-05,7,63,342
Liberal Lisa in Oklahoma,"I just want to let everyone know, that here in Oklahoma. We all think Ryan Walters is a dipshit. He wants to purchase 55,000 Trump Bibles, that will cost $3,300,000. It’s no surprise as to why Oklahoma is ranked 49th in education.",Oct-04,215,1.7K,6.1K
Rachel Bitecofer,Swing voters would not like the fact that Trump withheld fire relief to California until his data team proved there were Republicans living there if we could find a way to tell them. They don’t follow news.,Oct-04,23,1.9K,25K
Kelly D,"I don’t give a shit if Chuck Grassley is 107 years old, he KNEW what Trump had planned for 1/6 and should be in prison for the rest of his days.",Oct-04,63,1.3K,5.5K
Dean Obeidallah,Given Elon Musk is 100% on Team Trump I hope the Harris campaign plus all who work there and have Twitter accounts protect their online data from Musk. There truly is nothing Musk won’t do to help Trump win. Nothing.,Oct-05,92,501,6.7K
WTFGOP,"According to MTG, we Dems can control the weather. So before I use my magical powers & put on my rain dance outfit here in CA, what is a suitable temperature for all my Bay Area peeps? I’m thinking 65 because this 90-100 bullshit needs to fucking stop.",Oct-04,115,96,905
Tea Pain,"Trump went to the Alabama-Georgia game. Georgia lost. Yesterday Alabama lost to Vanderbilt. Yes, you heard that right. Vanderbilt. Trump wants to do for America what he did for Alabama and Georgia.",Oct-06,18,253,8.3K
Plies,"Trump, MAGA, & The Republicans: Want U To Be Scared Of Haitians, Women, Black Folks & Immigrants!! An I’m Fucking SICK OF It!!! They Want U To Fear Everything But The White Man!!!",Oct-04,171,1.3K,280
"Carter Elliott, IV",Angela Alsobrooks 🤝 Barack Obama Larry Hogan 🤝 Donald Trump This isn’t a hard choice.,Oct-04,13,8.3K,295
Shannon,"I’m sorry, but I can’t say this enough. I really fucking hate Donald Trump. Like, I really really hate that motherfucker.",Oct-04,319,5.3K,606
America,The Illegal Immigrant population in Pennsylvania has increased 241% and cost taxpayers over $1.64 billion under the Biden/Harris Administration. This is not putting America First. The only candidate in this race who will change this is Donald Trump.,Oct-05,239,32.8K,8.6K
Real Ben Garrison Cartoons,"If you are at the Trump rally in Butler, Pennsylvania you are about to be part of American history—what better way to spend a Saturday than saving our country!",Oct-05,62,4.7K,316
Tim Hannan,Donald Trump tried to overthrow the US government. If that wasn’t a line for you then you’re a piece of fucking shit.,Oct-04,24,4.5K,666
